Comments,Labels
"Pension ministre pa bizin ena parski zot tombe, kokin trice, zot pa permanent kument government servent. Zot pa emplyer du guvenment. Zot travail, prend la pays c ki eta don zot com contrat de 5 ans.",0
Jacqueline Abraham Coutet,0
Zis 2 mandat pou ene pm.,0
I agree this idea.,0
C 1 plan de Mr R.Badhain sa,0
Dave Bhantooa,0
Bnz droit de diaspora. 🇲🇺🇲🇺🇲🇺🇲🇺♥️💙💛💚,0
Sans oublier la cour supreme capave revoke any member of the parliament if they are involved in any criminal or fraud case without pay and loose their seat.Even the PM,0
Jamais pa pu kapav sanzer sa system la aret couyon dimoune pu zot bann fause ggt la,0
Capave change system la only when you realised you must dump all traditional parties and tell yourself such parties only favors some few rodeur boute,0
"Too right
Abolish yes man
Stop manipulation of election
Eliminate bribery,make the same an offence
Make it a crime for manipulation of videos
Stop intimidation and threat
Stop using religious platform to voice propaganda
Speaker should be chosen by the people
Encourage true patriotism
🇲🇺🇲🇺🇲🇺❤💙💛💚🙏🤝👍",0
Baisse 50% la paye minis et tir tou fringe benefits. C tou.,0
Maurice Lesage et Guy Ollivry zot parti encore existé?,0
Très Bonne Initiative,0
Yes agree,0
Je suis contente de changer.,0
"Deux suggestions:
1/. Point No.7, Mauriciens ki a l' exterieur pas necessaire voté, parski zot pas conne la realité du sol. C soit Cki zot in trouver dans les medias, ou soit choix zot propre famille a Maurice ki pou influence zot.
2/. Point 25, Concernant le transport gratuit; besoin ki chaque personne ki voyage gratuitement ena un carte a puce ( un peu comme RHT). Et ki govt paye ban compagnies transport par rapport a ki cantité dimoune in voyage gratuitement ar zot.

- Sinon keep it up et bonne chance.",0
Pou environment et Animal welfare ?,0
Aboli Post PPS,0
Mo penser nou pou kapav travay ensemble et mo pou amene mo mini manifest et nou bizin ajuster.,0
Bizin diminier la paye parlementaire par o moin 75%. Mo croire ki zot capv bien vive avk rs40000 ou bien rs50000 et enplus pas bizin done zot ban gros berline pu rouler. Mo penser ki ene ministre capv voyage dan ene axio ou bie ene Nissan,0
La paye minis bizin baisse par 75/ pourcent zot pas pli xtra,0
Mete n la paye fix pu bne minis 50mille zote bien capave vive car ena dimoune pe vive zis r 10mille areter roule gro berline fer zote voyage par taxi coumsa tour de role tout taxi gagne lavi san distinction ninporte ki region,0
Pa blié ki constitution bien revoir,0
Pena aukun mesure pu relancé économie ek baisse banne article de base,0
Droit de vote pour nous à l etranger avec forces,0
"BIZIN ARET ACHETER GROS BAGNOLE POUR BANNE DEPUTER
ZOT ZOOUIR L'ARGENT CONTRIBUABLE",0
Kozer missier Deenarain Lokee. Beh roshi so banm ti copain ki import ladrogue la. Pou laiss zot continuer zot bizness?,0
"eski kpav ggn 1 explication lors role ministre la santé actuellement??????
parski kan ena bannes information à communiqué p trouve ziste Jubeir ek Gaud ou Moussangi.",0
mo approuve ou banne recommandations a 100%,0
"Ou program top, mais bizin fare ce qui au pouvoir la aller avant.",0
