Link to Post,Source,Comments,Labels
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Eski zot finn déjà trouve BRUNO LAURETTE kritik Navin Ramgoolam en personne ?? Si oui.. Montré moi ène seul preuvre.! Merci,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Si Bruno Laurette envi BZTD... Li bizin osi dire Navin Ramgoolam ki li osi forme parti dans sa bann dinosaure ki lépep pas lé tann zot.! BZTD.. KI SO PRAVIN, NAVIN, XAVIER ET PAUL.. INCLUS ROSHI",1
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Deenarain Lokee SAAAA KI LI.,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Roshi ine fer 1 mari bon travail pou population depi l'année dernière. Give him some credits. Ou kpv pa content li. Mais line fer plis travail ki tout l'opposition c'est d dernier temps.,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Deenarain Lokee mo pu don vote ene nouvo parti ki pa pu ena ban dinosaur ok fer coner mo pu lamem entemp ki tou dimoune Dan mo lendroit ok,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Matthew Mateo ab li si ene ban voler mem sa tou pareil si cumsa ena encor ban lezot in fer impe bon travail Dan le passer ok,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Deenarain Lokee nuvin 14 ans ine bien fer so banne chamchas aler vini dehors surtout so maitresse sarier par valise cass imagine ou 14 ans comier largent ine aler ? Pomme zako encore p galoupe derriere Pravin Nuvin la honte lot nous meme pas zott,1
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Zot p koz bruno eski li kapav vine p m li ena
Mem fiel",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Gowtam Singh Ramiad mo frere ena just 2 comique ki fer premiere ministre dans sa Maurice la ramgoolam et pinokio sa pe trop dure apel sa communal,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Paul Mathew,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Gowtam Singh Ramiad li même future premier ministre et leader du parti malin président.😀😀👍👍,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Dir ceki zot envi pa Navin ki fine souleve problem Bruno coner,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Sel dimoune kine ouvert lizier tang dan morice... sa li ene menace pou tou dinosaure et pou sa système bankal la... akoz sa zot p pakpak la... li pena loken raison critik ramgoolam paski pinokio ki problèmes actuel la... pou rapel moricien p gueter kouma ene leader ki pa fi elue en 2014 p contigne régner en maître lor ptr... tou dictateur sa boss...ki so paul xavier etc... bane parti politique la coumadir bane entreprise brokers private family company... aster si to pa dacord al fer couma ganoo ivan etc.... al fer to parti...voila lichien morice,1
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Mwa mo trouve sa mari jolie.,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Kot sa 22o Million la sorti,Li fine bien kokin e li prend ene panel avoca pou dfane li joisseur la? Boukou Moricien aveugle.",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Chand Bhujun tone trouv li kokin toi couma to kav dir lin kokin sa 220 Million la pil eski to cone combien cash navin ena li to envi cone,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Ramgoolam pou gagne ene mari lecon dans maurice moi ki pe dir sa,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Kifr to pa organise 1 la marche toi osi dans place faire palabres lor facebook?,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Smith Eva ah bon.. Mais to réponn a palabre.. 😂😅,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Deenarain Lokee p fr la marche cntr corruption selman Ena Anil Gayan Present🤣🤣,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Li refer enn la Marche prochain fois, Li pu Flop",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Navin ene vre leader kan li PM ene ministre pa capave fanner.,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Rao Konaherkanaidu SAUF SO COFFRE 220 MILLION SO NANDANEE SO SATO EK PA BLIER SO MANE TI PILULLE BLEU PAR VALISE DAN COFFE FORT.

MEMOIRE BIEN FAIBLE MO FRÈRE SI TOI TONE BLIER NOU NON.",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Eric Jacques
Navin 1 vrai zom
Pas bobok cuma pravin🤣🤣🤣🤣",1
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Lisa Geerdharry VRAI ZOM PA PREND PILILLE SA MADAME.......,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Eric Jacques
Dans laz 50 ans toi aussi topu prend
Mo dormi ek buku cumsa😂😂😂😂",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Lisa Geerdharry WHO KNOWS!!!

SI POU BIZIN PREND PILLULE PAR VALISE POU DECLARE BEL ZOMME ALORS MO LAISSE SA POU MANE ""BEL ZOMME"" MOI MO N ZENFANT LA CÔTE EK MO BIZIN ZISSE 2 CONO CONO.

BLUE PILS NOT FOR ME.........",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Eric Jacques
Zour kok la pas lever to ava coner😂😂😂😂",1
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,Ki fer mo bizin rentre Dan so lavie. Pourvi kan li ti PM Moris ti ene paradis.et li ti ena vision.,0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Rao Konaherkanaidu ESKI NOU RESTE LOR MEME ILE???
PARADIS POU CERTAIN ET LENFER POU D'AUTRE.",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Lisa Geerdharry MO TROUVER OU P KOZE PAR EXPERIENCE.
IF SO PLEASE FEEL FREE TO FIND ANOTHER PARTY.......",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Kan Rambo ti o pouvoir so minis ti Amene so metres dan ene mission a letranger ,li encore dan parleman actuelman",0
https://m.facebook.com/groups/PRENDCOMPTELEPEP/permalink/1058101991362249/,PRENDCOMPTELEPEP,"Mo L'Opinion .
Perna Parti Travaillist
Perna LExecutif
Perna Programme PTr

Ena juste Navinchandra Ramgoolam
So programme ce
Craze tous
Pouce so VENGEANCE PERSONELLE",0
