Link to Post,Source,Comments,Labels
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Nu bizin Pravind ress nu PM ziska 2030. Meilleur PM pu nu zil. Ban lezot trop faible pu li. Vive nu Pravind!,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ti Zozo Lor Baz,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,KAN TO PA POU ENA MANGER SO KAKA SI TO PA POU EZITER POU TO MANGER MOVER BOUFFON 🤣🤣🔥🔥,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ferme to fesse do,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ferme to Q,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Gopia chatwa,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ey peelon plak fess trankil doh baboolal aret manz fess r pra20 peelon lamm so fess papu li la ki pra20 pra20 flmm,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ala to pilon p enterre nous vivants la bachiara,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,to mank rol boulbak,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Mange so kk ta....,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Mo croire pravind paie toi pu ki To vine met comment lor Facebook toi,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Fairytails yes,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Mo ggt,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Meilleurs des meilleurs.......sa même sa....Vive Kpj.....il mem ki pu résoudre tou nu problème,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Sa figur la li pena rol li met 1 poste li guette comier dimoun pour commente comier maltraité li pour ggn,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Prefere mort avek covid ki get Pravin ziska 2030,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Dn li fess flrmm,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ena dimoun pa kone ki pu coze🗣,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Vive bane coco vide,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ta baya cote to rester accause banne ti lesprit couma to meme ki nou dan sa situation la zordi.,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Mazine 1 bus arret devant ou la porte ou p kit ou la caz ou p ale dans 40 ene fer la priere pou ou banne cam arret coz sa ki pa bzn .,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Medpoint ti bizin Fini mette lockdown Friday 5 March to prevent crowds on the road. IRRESPONSABLE,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Lizier check demars,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,To liki p kase kumadir boutey to pe krwar kan li pm.la li pou epargnie,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,"Ki ena, kk dans so la tête sa? Si pena role, mette choukchouk dans laguel alle dormi do😎😎",1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Bousse to liki ou to Gogot seki to ena la bousse Li,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Dir li vivre lor mo kok,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Drmi r li,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Call centre propagande la pa ankor fermé? Zot pa respecter lockdown?,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Li p vive dans lespace sa boufon la li pas p truver ki p arrive akose sa imcompetent la et so bane ministre....n pm maudit,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Lin dormi r tor ma to ser tor pa so metress to ser to demi ser to femme to tifi to metresse to tifi illégitime,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Dire li boufon la si perna role souffler souffler,1
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,li pèna pukni,0
https://m.facebook.com/groups/RadioPlusMauritiusIleMauriceFanGroupUnofficial000/permalink/1091611841314841/?anchor_composer=false,RadioPlusMauritiusIleMauriceFanGroupUnofficial,Ti bassin sa,0
