la,
le,
mo,
pa,pas
so,
ti,chi
de,"2,d"
fer,"faire,fr"
si,
ou,
pe,p
ek,"et,e"
enn,"ene,1,en,n,un"
sa,
zot,zotte
dan,dans
pou,pour
a,
b,be
li,
dimoun,"dimoune,dimun,dimune"
tou,tout
c,
twa,"toi,tw,t"
finn,"in,fine"
byin,bien
ki,qui
mai,mais
nou,nu
gagne,ggne
nous,nou
vasin,vaccin
mwa,moi
vinn,vine
bann,"banne,ban"
covid-19,"covid,corona"
premier ministre,pm
to,t
avek,avec
mem,meme
ar,"r,are"
moris,maurice
alle,
gran,grand
pri,"prix,pris"
chatwa,
mor,"mort,touyer,touye,suicider,pendi,suicide"
pays,
kuma,couma
pren,pren
legime,legume
kaka,"kk,kkliki,kakaliki,kkl,kl,caca,kklki,kklk,cacaliki,tata,kkli"
liki,"l,lkm,likitorma,boussou,busu,bousou,kiwi,tamokass,tamokas"
gogot,"ggt,g"
pilon,"pln,peelon,p,pil,piln,lonpi,lonpie,pillon"
fesse,"fes,f,fess,fss,q,cul,fs,btf,anus,lanus,tonquin,tonkin,tokin,tonquins,tonkins,tokins,poum"
bour,"boure,pez,viol,bld,bztd,bzd"
falour,"flm,falourmama,falomama,flrmm,flmmm, flmma,flmm,falioumama, faloursoma,falousorma,flzmm,flrmama,falco"
graine,grain
bouss,"bouse,bousse,bous,bousser,bouser,bouce,boucer,bouccer,boucce"
batiara,bachiara
kok,"penis,bigoul,zozo,patol"
pissar,"piss,pss,pissr,pisar,pis,lurine,urine,pisse,pise,pss,ps"
to mama,"trma, torma, tormama, trmama"
bouffon,boufon
gopia,"con,gpia,salo,salaud,conne"
pitin,"ptn, salope,pi,putain,p"
makro,macro
kalot,"calot,klak,clak,klac"
plok,"ploc,plk,plc"
sousser,"soucer,souccer,sousse,sousse,souce"
makro,"macro,macreau"
