Comments,Labels
Nu bizin Pravind ress nu PM ziska 2030. Meilleur PM pu nu zil. Ban lezot trop faible pu li. Vive nu Pravind!,0
Ti Zozo Lor Baz,1
KAN TO PA POU ENA MANGER SO KAKA SI TO PA POU EZITER POU TO MANGER MOVER BOUFFON 🤣🤣🔥🔥,1
Ferme to fesse do,1
Ferme to Q,1
Marisa Marie,0
Gopia chatwa,1
Ey peelon plak fess trankil doh baboolal aret manz fess r pra20 peelon lamm so fess papu li la ki pra20 pra20 flmm,1
Ala to pilon p enterre nous vivants la bachiara,1
to mank rol boulbak,0
Christiane Antoine,0
Mange so kk ta....,1
Mo croire pravind paie toi pu ki To vine met comment lor Facebook toi,0
Mo ggt,1
Meilleurs des meilleurs.......sa même sa....Vive Kpj.....il mem ki pu résoudre tou nu problème,0
Sa figur la li pena rol li met 1 poste li guette comier dimoun pour commente comier maltraité li pour ggn,0
Prefere mort avek covid ki get Pravin ziska 2030,0
Kailash Panchoo,0
Dn li fess flrmm,1
Fairytailsjonath Fairytails,0
Ena dimoun pa kone ki pu coze🗣,0
Antish Ramnauth,0
Vive bane coco vide,0
Ta baya cote to rester accause banne ti lesprit couma to meme ki nou dan sa situation la zordi.,0
Auriant Pascal,0
Mazine 1 bus arret devant ou la porte ou p kit ou la caz ou p ale dans 40 ene fer la priere pou ou banne cam arret coz sa ki pa bzn .,0
Medpoint ti bizin Fini mette lockdown Friday 5 March to prevent crowds on the road. IRRESPONSABLE,0
Lizier Lïžîêř check demars,0
To liki p kase kumadir boutey to pe krwar kan li pm.la li pou epargnie,1
"Ki ena, kk dans so la tête sa? Si pena role, mette choukchouk dans laguel alle dormi do😎😎",1
Bousse to liki ou to Gogot seki to ena la bousse Li,1
Dir li vivre lor mo kok,1
Drmi r li,0
Call centre propagande la pa ankor fermé? Zot pa respecter lockdown?,0
Li p vive dans lespace sa boufon la li pas p truver ki p arrive akose sa imcompetent la et so bane ministre....n pm maudit,1
Marie Jean,0
Lin dormi r tor ma to ser tor pa so metress to ser to demi ser to femme to tifi to metresse to tifi illégitime,1
Dire li boufon la si perna role souffler souffler,1
Urmila Mawooa li pèna pukni,0
Ti bassin sa,0
Lukas Hunt next you 😂😂😂😂,0
Nishal DevilJin,0
KOMIE '''ICE CREAM '''TONN FINI ENVALER LA COCOVIDE,0
ZIS CNT KI Gagne droi roulé,0
Hell Heaven wai craze boja ubs,0
Amen li cot toi.li cpv bour to mama divant toi..to guete ki kalite bon to gagner,1
Sailesh Raj 🤩🤩,0
To pu manze tou so Génération SO CACA,1
Non tonn mal dire...vomier to galan pra20 pran morice la nett pou li ek so dynasty....liem ek so bann voleur in al fer vaccin premier avant civilians...mem dimoune kinn vote li mort li pisser li....bour sa ggt pays la dan la main badain shakeel bruno ameer meah osman mahomed uteem joomun tou pil vinn vrai zom...,1
mo croire tone fou ggt..ene minute moticien paler li..sa voleur la,1
Nawshera Subratty pas donne loccassion sa dimoune la role li perna role dapre lordre line boire pisar pj,1
Fabiola Ragoo Mamarot hsha,0
Mo demann Allah avoy so calamity lor ckinn fer injustice lor nou bann freres soeurs mauricien et bann ckinn mett mo bann freres dan prison pou foss case fakoo et ckine laiss bann cabri rentrer sans quarantine et p kasiete la veriter ki Allah detruire zott lor la terre y compri miniss depiter ki corompu cki pfer dezord lor la terre bon dier.....ameen,0
"Tir kok la dan t la bous pa puena sa encor
Tou cki p passer t oze dr sa t p rod rol tw c pa possible frere non m pa les croir

Nn tne trouv mm ki tne ecrir la ou tne fimm simik je demande c tou

Rex Margoton pa moricien sa ton",1
Ena p fimm kk li chien,1
To conne bousou🤣,1
Eta bouss inpé to🤬🤬🤬🤬 ta,1
kv tone gagne n koud fss ar li,1
Lacoz sa m ena lock down dans Vacoas.. 😝,0
Be don li fess alor,1
"Je pense que tu es sous l'emprise de substances TOXIQUES. Si ça se produit, tu aura envie de te tirer une balle dans la tête. Mais le pire c que tu ne seras peut être pas capable de le faire.😂",1
"Dialogue pi, prend to pravin ek toi faire ene pose 69",1
Johnny Ferrero 🤮🤮🤮🤧,0
To bzn parvin depuis 2030 li pa lavé so fs to continuer passer to langue dan so fs depuis to langue ggn closs 😂😂😂😂😂,1
Ta Gopia to pa cone ki to dir twa to ti pe reve ou li pe b to la family,1
Pendant lockdown chatwa p travail from home fort fort lol,0
Kes Kyete,0
Kes Kyete,0
Pinokio p met gros dibois point dans to tru fess to p rode li meme,1
Mo croire li p fer kiken gagne bon kot toi mauvè chatwa,0
ki sa ggt non la sa lucas jhant fer pravin mont lor toi to habitue donne fess couma theatre,1
"etaa ggt ecout sa,,,,,",1
Tone prend methadone ale donne fesse aster gopia,0
Laisse les aboit ! Nous solidaire ar nou pm ! Pas bizin bann salter nous,0
Non met li jusqua 2050 pli bon🤣🤣🤣to cpv enn 1 arpen la terre ek imp contrat..👍👍,0
zoli kozer sa,0
Ariane Binette,0
Ariane Binette,0
Il sent la CHIOT TON PRA20,0
What rubbish. Pravin ine caca,1
Almighty will decide. Vive Nou la terre 7 couleres.,0
Ferail so p rentr dan to menol to pa encor gg dimal mm move lacid kas n poze comence fr la priere pou nou pays akoze sa nespes figuir rebor pot la gt comier la vie dimoune p dan beze aret souce bigoul pou gg n take away briani boufon,1
