Link to Post,Source,Comments,Labels
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,Zot fine laisse zot couyoner avec belle belle promesse. Zot fine vini et zot fine trouver ki Moris pa sa paradis ki ti fere zot croire la. C'etait de l'exploitation tout simplement cot zot mal traiter.,0
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,Dorine Herry c vrai banes compagnie la bien exploitent zot les pauvres ou zot p cachiette kot kit femme zot in gner dans Maurice mo conne plusieurs cume sa zot ti p reste près kot moi Maurice zot cachiette pou pas retourne zot dans Bangladesh,0
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,Li normal dimune la pu sauver et travail en cashiet. C ban agents ki ale prn zot fr zot vin Maurice pu ggn gros kass. Ban dimune ki travail dans secteur textille pu comprn sa bien. Sa ban dimune paye gros kass et prn loan pu vin travay b astr si loan la mm zot pas resi payer ki oulE zot fr. C juste bisn 1 team special pu check banla zot papier regulierement. Maurice so population p aumenT par larriver ban bangladesh.,0
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,"Ena bezer pu allé reconnaître zot la tou p Ressemble, me lor zot battement ek zot hauteur pu distinguer r zot savatte plus longue ki zot li pied la 😁",1
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,Bella Donna 🙏🙏,0
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,Bella Donna Kan zot kozer... Zot la tete tous Le temp bouger,1
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,"Yaved Khan
Monn blier mentioner ☝️ zot cheveux ene Tonn lor zot la tête 🤣",1
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,Bella Donna pauvre conne! Jamais vu autant d’imbécillité. Tiabon ene zour to retrouve toi p mete savatte plis longue ki to lipied. En tout cas c’est ki mo souhaite toi.,1
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,Veux dire six Mauriciens ti chomeurs la......cot Mauriciens toi bizin gagne travaille ....Zot Bangladeshi et Indien pe envahir partout....Partout ...ziska un mechanicien moto dans Q.Bornes. fine amène Bangladeshi pour travaille ....alors.. Mauriciens toì pas gagne travaille. ENFIN.....very good ...un jour toi zenfants Mauricien pour vine locataire fans to propre pays. Chomeurs pour faire ravage.,1
https://m.facebook.com/lexpress.mu/posts/10159456427599540,Lexpress,"Christelle BC comier Mauricien sans papier pe travay au black dans pays étrazer pou ene l'espoir meilleur, be couma capav ena la haine ça coup là qd travayer étranger pe vine dans pays et zot aussi pe gagne maltraité. C'est ene pur la Haine apel ça.",0
